Year, Month,"Tornadoes","Fatalities"
1950,01,7,1
1950,02,27,46
1950,03,48,47
1950,04,63,59
1950,05,124,61
1950,06,152,67
1950,07,175,67
1950,08,188,67
1950,09,191,67
1950,10,193,67
1950,11,197,67
1950,12,201,70
1951,01,2,0
1951,02,12,1
1951,03,18,1
1951,04,44,3
1951,05,101,10
1951,06,177,19
1951,07,200,24
1951,08,227,24
1951,09,236,32
1951,10,238,32
1951,11,250,33
1951,12,260,34
1952,01,12,0
1952,02,39,10
1952,03,82,219
1952,04,119,223
1952,05,153,225
1952,06,187,228
1952,07,214,230
1952,08,230,231
1952,09,231,231
1952,10,231,231
1952,11,237,231
1952,12,240,231
1953,01,14,0
1953,02,30,3
1953,03,70,27
1953,04,117,63
1953,05,211,226
1953,06,322,470
1953,07,354,470
1953,08,378,470
1953,09,383,470
1953,10,389,470
1953,11,401,470
1953,12,422,519
1954,01,2,0
1954,02,19,2
1954,03,81,12
1954,04,194,14
1954,05,295,23
1954,06,402,28
1954,07,447,28
1954,08,496,29
1954,09,517,32
1954,10,531,34
1954,11,533,34
1954,12,550,36
1955,01,3,0
1955,02,7,0
1955,03,48,5
1955,04,147,12
1955,05,295,118
1955,06,448,120
1955,07,497,125
1955,08,530,125
1955,09,545,127
1955,10,568,128
1955,11,588,129
1955,12,591,129
1956,01,2,0
1956,02,49,8
1956,03,80,9
1956,04,165,76
1956,05,244,80
1956,06,309,80
1956,07,401,81
1956,08,443,83
1956,09,459,83
1956,10,488,83
1956,11,495,83
1956,12,504,83
1957,01,16,13
1957,02,21,13
1957,03,59,14
1957,04,275,44
1957,05,503,131
1957,06,650,145
1957,07,705,145
1957,08,725,145
1957,09,742,147
1957,10,760,149
1957,11,819,174
1957,12,857,193
1958,01,11,0
1958,02,31,13
1958,03,46,13
1958,04,122,17
1958,05,190,17
1958,06,318,60
1958,07,439,61
1958,08,485,62
1958,09,509,63
1958,10,518,67
1958,11,563,67
1958,12,564,67
1959,01,16,3
1959,02,36,24
1959,03,79,33
1959,04,109,34
1959,05,335,42
1959,06,408,44
1959,07,470,44
1959,08,508,44
1959,09,566,58
1959,10,590,58
1959,11,600,58
1959,12,602,58
1960,01,9,0
1960,02,37,0
1960,03,65,0
1960,04,135,7
1960,05,336,41
1960,06,461,44
1960,07,503,44
1960,08,551,45
1960,09,572,45
1960,10,590,46
1960,11,615,46
1960,12,616,46
1961,01,1,0
1961,02,32,0
1961,03,156,7
1961,04,231,11
1961,05,368,34
1961,06,475,36
1961,07,552,36
1961,08,579,36
1961,09,632,51
1961,10,646,51
1961,11,682,52
1961,12,698,52
1962,01,12,1
1962,02,37,1
1962,03,74,18
1962,04,115,20
1962,05,315,24
1962,06,485,24
1962,07,563,24
1962,08,614,30
1962,09,638,30
1962,10,649,30
1962,11,654,30
1962,12,656,30
1963,01,15,1
1963,02,20,1
1963,03,67,9
1963,04,152,25
1963,05,223,26
1963,06,313,26
1963,07,375,26
1963,08,401,28
1963,09,434,31
1963,10,447,31
1963,11,462,31
1963,12,462,31
1964,01,14,10
1964,02,16,10
1964,03,52,16
1964,04,210,31
1964,05,345,47
1964,06,482,47
1964,07,545,47
1964,08,624,49
1964,09,649,49
1964,10,671,71
1964,11,688,71
1964,12,706,73
1965,01,21,0
1965,02,54,0
1965,03,88,2
1965,04,214,270
1965,05,488,287
1965,06,635,294
1965,07,720,294
1965,08,781,295
1965,09,843,295
1965,10,859,296
1965,11,893,301
1965,12,900,301
1966,01,1,0
1966,02,29,0
1966,03,41,58
1966,04,121,70
1966,05,219,70
1966,06,345,89
1966,07,445,92
1966,08,503,92
1966,09,525,92
1966,10,554,98
1966,11,574,98
1966,12,585,98
1967,01,40,7
1967,02,48,7
1967,03,90,10
1967,04,239,83
1967,05,355,86
1967,06,565,92
1967,07,655,93
1967,08,683,95
1967,09,822,100
1967,10,858,104
1967,11,866,104
1967,12,927,114
1968,01,5,0
1968,02,12,0
1968,03,40,0
1968,04,143,40
1968,05,288,112
1968,06,424,123
1968,07,480,125
1968,08,546,127
1968,09,571,127
1968,10,585,127
1968,11,629,130
1968,12,661,131
1969,01,3,32
1969,02,8,32
1969,03,16,33
1969,04,85,35
1969,05,229,39
1969,06,366,46
1969,07,464,46
1969,08,534,65
1969,09,554,65
1969,10,579,65
1969,11,584,65
1969,12,607,66
1970,01,9,0
1970,02,25,0
1970,03,50,2
1970,04,167,32
1970,05,255,58
1970,06,389,64
1970,07,470,67
1970,08,525,67
1970,09,580,67
1970,10,630,73
1970,11,640,73
1970,12,654,73
1971,01,17,1
1971,02,102,135
1971,03,142,137
1971,04,217,148
1971,05,385,155
